,0,1,2,3,4,5,Next
373,4C,JH,AC,,,,
374,10H,3D,4C,10C,,,
375,JH,4S,QC,,,,
376,6D,9C,5D,10D,,,
377,7S,9H,5H,,,,
378,QS,9S,KH,,,,
379,8D,AC,4S,QD,,,
380,3C,5S,7C,,,,
381,2S,3C,7D,,,,
382,9S,4D,9C,,,,
383,JC,QS,10S,,,,
384,AH,KD,3D,AC,6S,,
385,JS,9S,QS,,,,
386,3D,7H,KC,4C,,,
387,7H,AS,9D,7C,,,
388,8C,AC,JS,AD,,,
389,10D,7H,9C,,,,
390,AC,KC,3C,,,,
391,8D,3S,2C,,,,
392,5D,5S,QD,3D,,,
393,5D,3C,3H,2C,,,
394,JH,7D,JS,,,,
395,QC,3C,JD,,,,
396,10D,AS,9D,,,,
397,JC,3H,2H,8C,,,
398,AC,2S,3H,,,,
399,8C,7C,AC,7H,,,
400,QH,5S,8H,,,,
401,AH,2D,QC,3C,,,
402,JC,QS,8C,,,,
403,5H,5D,7S,QH,,,
404,6C,4H,3D,,,,
405,2D,7C,4D,JC,,,
406,10C,6H,6C,,,,
407,10S,QH,3C,,,,
408,6C,2S,JC,7H,,,
409,6H,5H,9C,6D,,,
410,6C,4D,9H,,,,
411,7D,3S,6D,KS,,,
412,2C,AS,5C,JS,,,
413,AD,2S,7S,8S,9C,,
414,9S,2C,KD,,,,
415,5S,7D,2H,6D,,,
416,10S,AD,4C,4S,QH,,
417,2S,8C,5C,9C,,,
418,8H,JC,8D,,,,
419,AS,5H,JS,JD,,,
420,JC,5H,JD,,,,
421,KS,KD,6D,,,,
422,KS,6S,6H,,,,
423,5H,9D,6C,,,,
424,8D,2S,3H,6S,,,
425,10D,5S,JS,,,,
426,4C,QC,4D,7D,,,
427,KC,10H,QD,,,,
428,KH,AC,9D,6H,,,
429,8C,KD,4C,,,,
430,2H,5D,QS,8H,,,
431,JD,KC,5C,,,,
432,2H,9C,10D,,,,
433,3S,9H,6D,8C,,,
434,7H,9C,10H,,,,
435,KC,4S,10D,,,,
436,JH,AH,8S,9C,,,
437,10S,4S,9D,,,,
438,4D,9D,JH,,,,
439,7S,5D,2S,10S,,,
440,7H,4D,10H,,,,
441,AS,9D,9S,3D,,,
442,3S,6H,JS,QC,,,
443,7S,2S,2C,5S,2H,5D,
444,5S,3D,2D,,,,
445,6C,AC,8C,8H,,,
446,10C,AD,KD,,,,
447,4S,JH,3H,7D,,,
448,JD,7H,10H,,,,
449,10S,AS,QC,,,,
450,8S,2S,QC,10H,,,
451,JC,3C,2H,9S,,,
452,9C,5H,6H,10S,,,
453,4C,6H,9D,7S,,,
454,6S,5S,6H,,,,
455,AC,6C,8S,10H,,,
456,7S,KC,KH,,,,
457,5C,2C,9D,QS,,,
458,10S,10D,7D,,,,
459,7D,10D,3D,,,,
460,2S,5D,4D,KC,,,
461,10C,5S,2C,,,,
462,7C,KS,QH,,,,
463,10S,9H,3D,,,,
464,2H,8D,JH,9S,,,
465,3H,6C,10C,,,,
466,3D,7S,KD,KC,,,
467,KC,10S,JD,,,,
468,8C,3D,JH,,,,
469,AC,4D,10H,QC,,,
470,AS,4D,4S,,,,
471,JC,4C,7H,,,,
472,QH,7C,AC,7S,,,
473,4D,KD,6C,,,,
474,4S,6D,JS,QH,,,
475,4C,JH,7D,,,,
476,3S,4C,4D,,,,
477,8C,3C,5S,,,,
478,10D,AD,JS,,,,
479,10S,2S,4S,QH,,,
480,6H,5C,JH,,,,
481,KD,10C,JD,,,,
482,4S,4C,3D,8H,10H,,
483,6H,AH,5H,,,,
484,9S,8H,10S,,,,
485,QH,6C,QS,,,,
486,6S,9D,2D,,,,
487,10D,JD,8D,,,,
488,4D,3H,2S,7S,,,
489,AH,8C,2D,,,,
490,9S,7S,9D,,,,
491,QD,8D,3C,,,,
492,4C,2D,2H,10C,3C,,
493,AH,10D,5D,4C,6H,,
494,AD,2S,AS,,,,
495,9S,QH,QC,,,,
496,6D,5C,8H,,,,
497,8C,10D,KD,,,,
498,7D,10C,AS,6H,,,
499,7C,JD,2C,6D,,,
500,10H,9S,9H,,,,
501,9C,QC,KS,,,,
502,AC,7D,5S,6D,,,
503,5D,5C,AH,3C,,,
504,QD,4S,7H,,,,
505,KH,9D,AD,,,,
506,6H,QD,6D,,,,
507,5D,KS,7H,,,,
508,10S,3H,4H,10C,,,
509,10C,AD,9C,,,,
510,AC,6D,7D,3S,,,
511,KC,2S,7S,,,,
512,AH,7C,AC,2D,3H,,
513,8S,5C,3C,,,,
514,3C,AS,8D,2S,2D,,
515,3C,5C,JD,7C,,,
516,10D,QS,7D,,,,
517,7H,9S,KC,,,,
518,KS,9C,6S,,,,
519,4D,2H,7S,8D,,,
520,KH,QD,JS,,,,
521,9S,JH,7H,,,,
522,KS,5D,4D,QC,,,
523,6S,9S,8S,,,,
524,5S,AD,QS,JC,,,
525,10C,5C,8H,,,,
526,7H,QS,9D,,,,
527,7H,2D,3C,,,,
528,3S,8D,JH,,,,
529,2S,5S,7H,4S,,,
530,JS,8C,6D,,,,
531,5H,9H,6C,,,,
532,8S,9H,3C,,,,
533,KD,2S,QH,,,,
534,7C,9D,JD,,,,
535,5D,JD,6H,,,,
536,4D,4H,5S,2H,JS,,
537,10C,5H,QS,,,,
538,7S,AH,4D,6H,,,
539,8C,8S,8H,,,,
540,4S,6S,5H,6C,,,
541,5H,2H,4D,9C,KD,,
542,5C,10D,7D,,,,
543,4D,JD,2H,9D,,,
544,8S,9H,KH,,,,
545,10S,2C,JD,,,,
546,QH,9S,8S,,,,
547,9D,3C,6H,JD,,,
548,2H,JD,7H,9C,,,
549,3S,5C,2S,6D,AS,,
550,JD,AH,KS,,,,
551,AD,7C,7H,,,,
552,AC,6H,3S,AH,QS,,
553,7C,4C,10H,,,,
554,9H,4D,JC,,,,
555,7C,8H,2D,4H,,,
556,3H,7H,4H,,,,
557,9S,QH,7D,,,,
558,KS,7C,AS,,,,
559,KH,5C,QH,,,,
560,3H,4S,QC,,,,
561,3H,KD,QD,,,,
562,4S,JH,JD,,,,
563,3S,5S,2D,,,,
564,6H,JS,AS,7S,,,
565,5D,10C,7S,,,,
566,JD,9C,QD,,,,
567,3D,AC,5C,,,,
568,7D,10C,4C,,,,
569,QD,2C,4S,9D,,,
570,8S,JS,9D,,,,
571,JS,7S,9S,,,,
572,JS,2S,2D,QD,,,
573,JC,3C,6H,3H,,,
574,6S,QD,KC,,,,
575,QH,10C,KD,,,,
576,10S,9C,7H,,,,
577,JC,QC,4H,,,,
578,7D,6H,2S,,,,
579,10H,10C,5H,,,,
580,10D,10H,10S,,,,
581,9S,4S,4D,,,,
582,9S,4C,6C,KD,,,
583,JS,AC,KD,,,,
584,9S,7D,8H,,,,
585,4C,KD,9C,,,,
586,4H,6D,10H,10D,,,
587,JS,2S,9C,,,,
588,QH,10H,KC,,,,
589,9C,KD,5D,,,,
590,8D,6D,9S,,,,
591,2S,4C,8S,,,,
592,9C,8H,6D,,,,
593,KH,6S,10D,,,,
594,8S,9S,5C,,,,
595,6D,9S,2H,9H,,,
596,9S,2S,QH,,,,
597,8H,4D,3H,6D,,,
598,JC,9D,3S,,,,
599,6D,3H,7C,5C,,,
600,7S,4D,4S,9S,,,
601,7H,JH,KH,,,,
602,7D,8H,QH,,,,
603,9S,7D,8C,,,,
604,AC,QC,4S,9D,,,
605,8H,7H,6D,,,,
606,4S,7H,5D,5C,,,
607,8H,7S,5D,,,,
608,2S,8H,JS,3C,,,
609,4D,6C,6D,QD,,,
610,6H,10C,5S,,,,
611,5C,AC,4D,,,,
612,AC,6C,AD,,,,
613,JD,10H,5H,,,,
614,6C,9S,10C,,,,
615,10H,5C,8S,,,,
616,7D,3C,10H,2H,,,
617,KS,2C,4H,3D,10H,,
618,6D,10S,5S,,,,
619,AD,4H,KS,6S,,,
620,5H,7C,9S,,,,
621,KD,6D,5D,,,,
622,3S,QH,5H,,,,
623,2C,4H,8C,JD,,,
624,8S,4H,10C,,,,
625,7C,4H,KD,,,,
626,9H,2H,3D,,,,
627,5H,JH,AC,,,,
628,2S,6C,5S,,,,
629,QH,5H,10S,,,,
630,7S,AS,8H,JH,,,
631,QC,JD,6C,,,,
632,5S,3S,7S,,,,
633,JD,6D,5D,,,,
634,QS,10S,3S,,,,
635,3C,2S,KH,,,,
636,QD,2S,JD,,,,
637,QS,9H,8S,,,,
638,KS,8D,QS,,,,
639,5D,9H,2S,7S,,,
640,7S,KS,3C,KC,,,
641,6H,7D,8D,,,,
642,QS,3C,2S,4C,,,
643,AH,QS,QH,,,,
644,JH,QD,6D,,,,
645,6H,JC,JH,,,,
646,10H,9H,7C,,,,
647,2C,10S,3H,4S,,,
648,KD,AH,5S,8C,,,
649,5H,8S,2H,,,,
650,7D,4D,KS,,,,
651,3H,KD,8S,,,,
652,9S,7H,5D,,,,
653,JD,8C,3H,,,,
654,AC,10D,3D,7C,,,
655,8C,AS,QS,,,,
656,6D,AC,9D,JD,,,
657,AD,4D,6H,,,,
658,10H,10S,JD,,,,
659,3C,6C,9H,,,,
660,AS,5C,10D,,,,
661,10H,KD,10S,,,,
662,2H,6H,QS,KD,,,
663,4H,AD,10S,9S,,,
664,7S,8D,10H,,,,
665,10C,9D,2S,,,,
666,JS,5H,2D,4S,,,
667,3H,KH,QC,,,,
668,10H,4S,2H,QD,,,
669,4H,8D,JD,,,,
670,KC,JD,8C,,,,
671,4C,9S,5S,AS,,,
672,KS,7D,7C,,,,
673,8H,5D,4C,QS,,,
674,4D,AD,8H,QS,,,
675,5H,10C,6H,,,,
676,QH,2H,10C,,,,
677,10H,3C,AH,,,,
678,3D,8D,6S,7D,,,
679,AH,5C,9H,4D,3C,,
680,8C,7H,4S,KS,,,
681,5C,8C,2H,AS,9D,,
682,7C,5S,KH,,,,
683,7D,QD,5D,,,,
684,3H,5S,10C,8C,,,
685,7C,9C,10C,,,,
686,QC,KS,2C,,,,
687,JS,9S,AC,,,,
688,8S,5C,QH,,,,
689,9S,7C,JD,,,,
690,10D,5D,AC,,,,
691,9D,9S,QH,,,,
692,JS,3H,QC,,,,
693,JH,9C,AC,2C,,,
694,KC,QC,KH,,,,
695,JS,9D,6C,,,,
696,QS,8D,8S,,,,
697,7C,8C,8S,,,,
698,5D,6D,3S,,,,
699,QS,AH,4D,10H,,,
700,9H,7C,9C,,,,
701,8S,7S,5D,9S,,,
702,6H,9S,JS,,,,
703,8C,6H,KC,,,,
704,7D,3C,9S,,,,
705,AD,KD,8S,,,,
706,7D,3C,9C,10H,,,
707,3S,JH,AC,,,,
708,2H,7C,5H,,,,
709,4H,JH,3H,2H,,,
710,8H,JH,3C,,,,
711,KH,AD,AS,10D,,,
712,JD,6C,3C,,,,
713,4S,8H,4C,10C,,,
714,8H,7S,AH,4D,,,
715,2S,JD,KC,,,,
716,2H,JH,AD,5H,,,
717,2H,3D,10H,QH,,,
718,4S,6H,4H,KS,,,
719,5C,4D,KS,,,,
720,3H,9C,AC,,,,
721,10C,3D,10S,,,,
722,9S,KD,AD,JS,,,
723,QC,6C,8S,,,,
724,7S,JD,5D,,,,
725,3H,3S,9C,6C,,,
726,8S,8D,AS,2D,10D,,
727,3H,5C,3S,JC,,,
728,2H,QS,8H,2S,,,
729,5H,4C,3C,3S,7C,,
730,8H,8S,10D,,,,
731,2D,8S,7C,9D,,,
732,2H,5C,10H,,,,
733,9S,6C,9H,,,,
734,3D,6C,QS,5H,,,
735,6H,7H,2H,,,,
736,KD,8C,5D,,,,
737,JC,5H,7S,,,,
738,6S,KC,3H,QC,,,
739,2H,3D,QD,9D,,,
740,5C,6D,QS,,,,
741,3S,8S,7H,9S,,,
742,4H,8D,QS,,,,
743,7S,10C,3C,QS,,,
744,JH,2S,6C,7D,,,
745,10D,KD,6H,,,,
746,4S,6D,8H,,,,
747,3H,8D,2C,,,,
748,7H,AC,5D,5H,,,
749,5C,AC,QD,5S,,,
750,AC,AD,7H,2D,KC,,
751,10S,8S,JD,,,,
752,2D,7H,6S,9D,,,
753,AS,9C,QC,,,,
754,5H,AH,4S,,,,
755,8H,JS,7D,,,,
756,4C,7C,4D,,,,
757,2C,4D,9C,,,,
758,7C,7D,10D,,,,
759,4S,5D,6S,,,,
760,5D,3H,KS,6S,,,
761,AH,2D,AS,,,,
762,AD,2S,JD,,,,
763,7C,7D,6D,,,,
764,QS,QD,7C,,,,
765,8H,10D,6H,,,,
766,JC,3D,5S,,,,
767,7H,9C,5D,,,,
768,6D,3S,10S,,,,
769,6C,5S,7S,4S,,,
770,AH,QD,2S,2D,JS,,
771,KC,5H,10C,,,,
772,8D,7D,6H,,,,
773,7H,KC,10S,,,,
774,QS,JD,9S,,,,
775,10H,2D,AC,AH,,,
776,6C,10D,6H,,,,
777,QS,3D,QH,,,,
778,4S,10H,4D,AC,10S,,
779,8C,8S,6H,,,,
780,QC,9C,JD,,,,
781,JS,7D,3C,,,,
782,8S,9D,9C,,,,
783,4H,5S,KS,7D,,,
784,7H,2H,9C,10S,,,
785,JS,3H,KH,,,,
786,8H,QD,5H,,,,
787,6H,10C,8C,,,,
788,9S,5D,4C,KC,,,
789,QD,AS,KH,,,,
790,3S,5H,JC,2D,10S,,
791,9C,10S,6D,,,,
792,3H,AH,3D,,,,
793,8H,10D,8D,,,,
794,6D,2H,QD,5S,,,
795,AD,JH,6H,4C,,,
796,10C,AH,JH,,,,
797,9H,KS,7D,,,,
798,AH,5D,JS,AS,QD,,
799,4H,JD,8D,,,,
800,8H,3C,8C,,,,
801,3C,8S,5H,,,,
802,8D,4C,6H,JC,,,
803,5C,KS,6D,,,,
804,AD,AC,9D,5D,,,
805,3H,3S,JD,KC,,,
806,3C,6C,7H,3D,,,
807,5H,2S,3S,AS,,,
808,2S,5D,9S,,,,
809,JD,10H,KC,,,,
810,4D,2H,3S,10H,6C,,
811,2C,5C,6D,6S,6C,,
812,3S,KD,6S,8D,,,
813,7S,3C,8H,6D,,,
814,QC,10H,8C,,,,
815,7D,5C,9S,,,,
816,QC,9D,4S,,,,
817,6S,9S,2C,10C,,,
818,QD,7D,JD,,,,
819,2S,10D,3D,8S,,,
820,QD,4H,5C,QS,,,
821,3C,AC,3D,AH,5D,,
822,2D,7C,7D,AH,5C,,
823,10S,4S,AD,,,,
824,JS,3H,7D,,,,
825,4H,JH,4C,,,,
826,4S,8D,QD,,,,
827,5D,KS,JS,,,,
828,7D,AD,9C,9H,,,
829,2C,QS,4D,,,,
830,4C,5H,6C,,,,
831,3S,9D,KS,,,,
832,4C,3H,QC,QS,,,
833,9C,6H,AH,,,,
834,AS,3S,JS,5C,,,
835,10S,6H,AH,KH,,,
836,6H,AD,7C,9C,,,
837,KC,QD,10S,,,,
838,QC,JC,9S,,,,
839,2H,9C,5D,6H,,,
840,JH,QH,10S,,,,
841,JC,QS,2H,,,,
842,7C,3S,10S,,,,
843,KD,10H,KS,,,,
844,3H,4D,KD,,,,
845,5S,10S,KC,,,,
846,4C,2H,8S,7H,,,
847,JS,7D,7S,,,,
848,AC,8H,7H,,,,
849,AH,6H,10D,9D,,,
850,JS,KC,QD,,,,
851,9S,2H,8D,5S,,,
852,10H,KC,5C,,,,
853,AD,QH,2D,3C,AC,,
854,AD,10C,7H,5H,,,
855,6C,3H,KC,8C,,,
856,8C,2D,6H,,,,
857,9C,8D,5C,,,,
858,KH,8S,JH,,,,
859,6H,10S,9S,,,,
860,JD,2D,5H,5D,,,
861,6S,10H,2D,QD,,,
862,AH,6D,8D,AS,,,
863,2D,6D,5H,,,,
864,2C,7D,AH,QD,5S,,
865,2H,6C,6D,8C,,,
866,JH,7H,3D,KD,,,
867,JH,QS,10C,,,,
868,2S,7H,2C,QC,,,
869,2D,5H,9H,,,,
870,5D,10H,3H,2D,5H,,
871,6S,8S,QC,,,,
872,QD,10D,7C,,,,
873,4H,JC,10C,,,,
874,10C,10D,AC,,,,
875,8H,5S,AD,8S,,,
876,10C,10H,QD,,,,
877,9C,4H,3S,,,,
878,AS,6S,4S,5D,8H,,
879,9D,10H,7C,,,,
880,3H,AC,JS,6S,7H,,
