,Card0,Card1,Card2,Card3,Card4,H/S,W/L,Answer,Final,P_Score,D_Score
78,AC,AS,5C,,,0.0,1.0,0.0,1.0,17,12
79,8H,8S,,,,0.0,1.0,0.0,1.0,16,23
80,10D,QD,,,,0.0,1.0,0.0,1.0,20,18
81,JS,7C,,,,0.0,1.0,0.0,1.0,17,9
82,8D,10H,,,,0.0,1.0,0.0,1.0,18,11
83,4H,8S,,,,1.0,1.0,1.0,0.0,18,11
84,4H,8S,6D,,,0.0,0.0,1.0,1.0,18,21
85,KS,6S,,,,0.0,1.0,0.0,1.0,16,14
86,AS,6D,,,,0.0,1.0,0.0,1.0,17,23
87,10H,KH,,,,0.0,1.0,0.0,1.0,20,30
88,4D,5D,,,,0.0,0.0,1.0,1.0,9,20
89,9H,KH,,,,0.0,1.0,0.0,1.0,19,16
90,9D,KS,,,,0.0,1.0,0.0,1.0,19,27
91,4S,8S,,,,1.0,0.0,0.0,1.0,22,14
92,3S,5S,,,,1.0,1.0,1.0,0.0,16,18
93,3S,5S,8H,,,0.0,0.0,1.0,1.0,16,18
94,3C,9H,,,,1.0,1.0,1.0,0.0,15,9
95,3C,9H,3D,,,0.0,1.0,0.0,1.0,15,9
96,AC,5C,,,,1.0,1.0,1.0,0.0,14,19
97,AC,5C,8H,,,1.0,1.0,1.0,0.0,20,19
98,AC,5C,8H,6C,,0.0,1.0,0.0,1.0,20,22
99,9H,6H,,,,1.0,1.0,1.0,0.0,20,20
100,9H,6H,5C,,,0.0,1.0,0.0,1.0,20,20
101,10H,3S,,,,1.0,1.0,1.0,0.0,17,16
102,10H,3S,4D,,,0.0,1.0,0.0,1.0,17,16
103,6H,AS,,,,0.0,0.0,1.0,1.0,17,20
104,8C,2C,,,,1.0,1.0,1.0,0.0,11,13
105,8C,2C,AC,,,0.0,1.0,0.0,1.0,21,13
