,Card0,Card1,Card2,Card3,Card4,H/S,W/L,Answer,Final,P_Score,D_Score
35,2S,KC,AD,,,1.0,0.0,0.0,1.0,23,21
36,10D,3C,,,,1.0,0.0,0.0,1.0,23,15
37,QS,KH,,,,0.0,1.0,0.0,1.0,20,16
38,3C,6H,,,,1.0,1.0,1.0,0.0,19,15
39,3C,6H,KS,,,0.0,0.0,1.0,1.0,19,20
40,2H,9D,,,,1.0,1.0,1.0,0.0,21,13
41,5D,9D,,,,1.0,1.0,1.0,0.0,19,18
42,5D,9D,5H,,,0.0,1.0,0.0,1.0,19,18
43,KH,10H,,,,0.0,1.0,0.0,1.0,20,19
44,4H,2H,,,,1.0,1.0,1.0,0.0,13,15
45,4H,2H,7D,,,1.0,1.0,1.0,0.0,20,15
46,4H,2H,7D,7H,,0.0,0.0,1.0,1.0,20,21
47,AC,5S,,,,1.0,1.0,1.0,0.0,9,20
48,AC,5S,3C,,,1.0,1.0,1.0,0.0,13,20
49,AC,5S,3C,4D,,1.0,0.0,0.0,1.0,23,20
50,4C,6C,,,,1.0,1.0,1.0,0.0,20,19
51,4C,6C,JH,,,0.0,1.0,0.0,1.0,20,19
52,7H,QH,,,,0.0,0.0,1.0,1.0,17,18
53,4H,AH,,,,1.0,1.0,1.0,0.0,14,16
54,4H,AH,9S,,,0.0,1.0,0.0,1.0,14,23
55,8S,7C,,,,1.0,0.0,0.0,1.0,25,12
56,6D,QS,,,,1.0,1.0,1.0,0.0,20,17
57,6D,QS,4S,,,0.0,1.0,0.0,1.0,20,17
58,9S,3D,,,,1.0,0.0,0.0,1.0,22,16
59,AS,7D,,,,0.0,0.0,1.0,1.0,18,21
60,7S,9S,,,,1.0,1.0,1.0,0.0,20,19
61,7S,9S,4C,,,0.0,1.0,0.0,1.0,20,19
62,KS,QS,,,,0.0,1.0,0.0,1.0,20,15
63,AC,5S,,,,1.0,1.0,1.0,0.0,12,17
64,AC,5S,6H,,,1.0,1.0,1.0,0.0,15,17
65,AC,5S,6H,3C,,0.0,0.0,1.0,1.0,15,17
66,8D,AH,,,,0.0,1.0,0.0,1.0,19,18
67,6C,3D,,,,1.0,1.0,1.0,0.0,17,20
68,6C,3D,8C,,,0.0,0.0,1.0,1.0,17,20
69,8H,QH,,,,0.0,1.0,0.0,1.0,18,16
70,4C,QS,,,,1.0,1.0,1.0,0.0,20,11
71,4C,QS,6C,,,0.0,1.0,0.0,1.0,20,17
72,3S,5H,,,,1.0,1.0,1.0,0.0,17,11
73,3S,5H,9C,,,0.0,0.0,1.0,1.0,17,21
74,KD,10C,,,,0.0,1.0,0.0,1.0,20,15
75,KC,5S,,,,0.0,1.0,0.0,1.0,15,23
76,QD,9H,,,,0.0,1.0,0.0,1.0,19,17
77,KD,8H,,,,1.0,0.0,0.0,1.0,23,16
78,KD,6S,,,,0.0,1.0,0.0,1.0,16,15
79,10C,5D,,,,0.0,0.0,1.0,1.0,15,16
80,8D,6S,,,,1.0,0.0,0.0,1.0,22,13
81,5S,4C,,,,1.0,1.0,1.0,0.0,18,20
82,5S,4C,9H,,,0.0,0.0,1.0,1.0,18,20
83,6H,5D,,,,1.0,1.0,1.0,0.0,21,12
84,6D,QC,,,,0.0,0.0,1.0,1.0,16,17
85,AS,AD,,,,1.0,1.0,1.0,0.0,12,12
86,AS,AD,KS,,,1.0,1.0,1.0,0.0,16,12
87,AS,AD,KS,4S,,0.0,0.0,1.0,1.0,16,17
88,9C,3H,,,,1.0,0.0,0.0,1.0,22,14
89,6H,2C,,,,1.0,1.0,1.0,0.0,16,17
90,6H,2C,8H,,,0.0,0.0,1.0,1.0,16,17
91,QH,9C,,,,0.0,1.0,0.0,1.0,19,17
