,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
43,9H,6S,,,,,1.0,1.0,1.0,0.0,21,11
44,AH,7C,,,,,1.0,1.0,1.0,0.0,10,15
45,AH,7C,2S,,,,1.0,1.0,1.0,0.0,20,15
46,AH,7C,2S,QH,,,0.0,1.0,0.0,1.0,20,24
47,6H,KS,,,,,1.0,0.0,0.0,1.0,26,20
48,6C,4S,,,,,0.0,1.0,0.0,1.0,10,9
49,10D,2S,,,,,1.0,1.0,1.0,0.0,21,11
50,KC,6D,,,,,0.0,1.0,0.0,1.0,16,16
51,9S,KC,,,,,1.0,0.0,0.0,1.0,23,18
52,8H,2S,,,,,1.0,1.0,1.0,0.0,12,10
53,8H,2S,2D,,,,0.0,0.0,1.0,1.0,12,20
54,6S,3D,,,,,0.0,0.0,1.0,1.0,9,21
55,9S,5S,,,,,1.0,0.0,0.0,1.0,24,10
56,8H,9S,,,,,0.0,1.0,0.0,1.0,17,10
57,2H,2D,,,,,0.0,0.0,1.0,1.0,4,17
58,3C,9D,,,,,0.0,1.0,0.0,1.0,12,25
59,AC,3H,,,,,0.0,1.0,0.0,1.0,14,13
60,10D,10S,,,,,1.0,0.0,0.0,1.0,30,8
61,10H,5C,,,,,1.0,1.0,1.0,0.0,19,14
62,10H,5C,4S,,,,0.0,1.0,0.0,1.0,19,22
63,5C,3C,,,,,1.0,1.0,1.0,0.0,12,5
64,5C,3C,4S,,,,1.0,0.0,0.0,1.0,22,15
65,9C,7S,,,,,0.0,1.0,0.0,1.0,16,22
66,JS,JD,,,,,1.0,0.0,0.0,1.0,24,14
67,4H,AD,,,,,0.0,0.0,1.0,1.0,15,20
68,4C,AD,,,,,1.0,1.0,1.0,0.0,15,18
69,4C,AD,KC,,,,1.0,1.0,1.0,0.0,16,18
70,4C,AD,KC,AC,,,0.0,0.0,1.0,1.0,16,18
71,4C,3S,,,,,1.0,1.0,1.0,0.0,17,10
72,4C,3S,JH,,,,1.0,1.0,1.0,0.0,19,10
73,4C,3S,JH,2D,,,0.0,1.0,0.0,1.0,19,10
74,KH,3S,,,,,0.0,1.0,0.0,1.0,13,23
75,9C,8C,,,,,1.0,1.0,1.0,0.0,18,20
76,9C,8C,AD,,,,1.0,1.0,1.0,0.0,20,20
77,9C,8C,AD,2S,,,1.0,0.0,0.0,1.0,30,20
78,9H,3H,,,,,0.0,0.0,1.0,1.0,12,20
79,10C,9S,,,,,0.0,1.0,0.0,1.0,19,12
80,JS,JD,,,,,0.0,1.0,0.0,1.0,20,17
81,QC,6H,,,,,1.0,0.0,0.0,1.0,26,15
82,6D,QC,,,,,1.0,0.0,0.0,1.0,24,13
83,QC,QD,,,,,1.0,0.0,0.0,1.0,30,19
84,10C,JC,,,,,0.0,1.0,0.0,1.0,20,11
85,5C,JS,,,,,0.0,1.0,0.0,1.0,15,13
86,3S,3H,,,,,1.0,1.0,1.0,0.0,15,16
87,3S,3H,9S,,,,1.0,1.0,1.0,0.0,18,16
88,3S,3H,9S,3C,,,1.0,1.0,1.0,0.0,19,16
89,3S,3H,9S,3C,AH,,0.0,1.0,0.0,1.0,19,26
90,2S,2H,,,,,1.0,1.0,1.0,0.0,7,13
91,2S,2H,3H,,,,0.0,1.0,0.0,1.0,7,22
92,10H,QH,,,,,1.0,0.0,0.0,1.0,23,21
93,QS,JH,,,,,1.0,0.0,0.0,1.0,23,13
94,8H,KS,,,,,1.0,0.0,0.0,1.0,26,15
95,6C,5C,,,,,0.0,1.0,0.0,1.0,11,28
96,QH,2C,,,,,0.0,0.0,1.0,1.0,12,17
97,QD,JD,,,,,0.0,1.0,0.0,1.0,20,17
98,7S,5H,,,,,1.0,0.0,0.0,1.0,22,16
99,5C,6H,,,,,1.0,1.0,1.0,0.0,12,10
100,5C,6H,AD,,,,1.0,0.0,0.0,1.0,22,10
101,9C,AH,,,,,0.0,1.0,0.0,1.0,20,30
102,QH,JH,,,,,1.0,0.0,0.0,1.0,25,14
103,10C,QH,,,,,1.0,0.0,0.0,1.0,30,13
104,JH,6S,,,,,0.0,0.0,1.0,1.0,16,21
105,8C,6H,,,,,0.0,1.0,0.0,1.0,14,7
106,10H,JS,,,,,1.0,0.0,0.0,1.0,22,19
107,6H,10D,,,,,0.0,0.0,1.0,1.0,16,18
108,6D,2S,,,,,0.0,0.0,1.0,1.0,8,18
109,4H,9D,,,,,0.0,0.0,1.0,1.0,13,20
110,7H,2C,,,,,1.0,1.0,1.0,0.0,17,10
111,7H,2C,8H,,,,1.0,1.0,1.0,0.0,20,10
112,7H,2C,8H,3C,,,0.0,1.0,0.0,1.0,20,20
113,2S,JH,,,,,0.0,0.0,1.0,1.0,12,17
114,8C,AD,,,,,0.0,1.0,0.0,1.0,19,15
115,AH,3C,,,,,0.0,1.0,0.0,1.0,14,29
116,AH,5S,,,,,0.0,1.0,0.0,1.0,16,11
117,8C,5H,,,,,1.0,1.0,1.0,0.0,21,4
118,6S,5S,,,,,1.0,1.0,1.0,0.0,13,15
119,6S,5S,2D,,,,1.0,1.0,1.0,0.0,14,15
120,6S,5S,2D,AC,,,0.0,1.0,0.0,1.0,14,25
121,10D,6S,,,,,0.0,1.0,0.0,1.0,16,5
122,5H,10C,,,,,1.0,1.0,1.0,0.0,18,11
123,5H,10C,3D,,,,1.0,1.0,1.0,0.0,19,11
124,5H,10C,3D,AH,,,0.0,1.0,0.0,1.0,19,24
125,5H,JD,,,,,1.0,0.0,0.0,1.0,22,10
126,6H,5S,,,,,1.0,1.0,1.0,0.0,21,15
127,QC,KD,,,,,0.0,1.0,0.0,1.0,20,19
128,9C,QC,,,,,0.0,1.0,0.0,1.0,19,15
129,AD,8D,,,,,0.0,1.0,0.0,1.0,19,12
130,10C,6D,,,,,1.0,1.0,1.0,0.0,17,12
131,10C,6D,AC,,,,1.0,0.0,0.0,1.0,22,12
132,10D,8S,,,,,0.0,0.0,1.0,1.0,18,20
133,KD,4D,,,,,0.0,1.0,0.0,1.0,14,22
134,4C,JD,,,,,0.0,1.0,0.0,1.0,14,9
135,2C,6D,,,,,1.0,1.0,1.0,0.0,18,11
136,2C,6D,QS,,,,0.0,1.0,0.0,1.0,18,23
137,QS,10S,,,,,1.0,0.0,0.0,1.0,25,8
138,JC,9S,,,,,1.0,0.0,0.0,1.0,29,10
139,QH,5C,,,,,1.0,1.0,1.0,0.0,16,9
140,QH,5C,AC,,,,1.0,1.0,1.0,0.0,20,9
141,QH,5C,AC,4C,,,1.0,0.0,0.0,1.0,28,19
142,9S,QS,,,,,0.0,0.0,1.0,1.0,19,21
143,9D,AD,,,,,1.0,1.0,1.0,0.0,17,7
144,9D,AD,7C,,,,1.0,1.0,1.0,0.0,18,7
145,9D,AD,7C,AH,,,1.0,0.0,0.0,1.0,27,7
146,4S,QH,,,,,1.0,0.0,0.0,1.0,23,18
147,6C,AD,,,,,1.0,1.0,1.0,0.0,9,13
148,6C,AD,2H,,,,1.0,1.0,1.0,0.0,16,13
149,6C,AD,2H,7D,,,0.0,1.0,0.0,1.0,16,29
150,5S,JS,,,,,0.0,1.0,0.0,1.0,15,13
151,7S,8S,,,,,1.0,1.0,1.0,0.0,19,12
152,7S,8S,4C,,,,1.0,0.0,0.0,1.0,23,12
153,2H,6S,,,,,0.0,0.0,1.0,1.0,8,17
154,6H,QH,,,,,0.0,0.0,1.0,1.0,16,21
155,6S,KH,,,,,0.0,0.0,1.0,1.0,16,18
156,KH,JC,,,,,0.0,1.0,0.0,1.0,20,30
157,2H,6D,,,,,1.0,1.0,1.0,0.0,18,19
158,2H,6D,QD,,,,0.0,0.0,1.0,1.0,18,19
159,9D,KC,,,,,0.0,1.0,0.0,1.0,19,23
160,2D,7H,,,,,1.0,1.0,1.0,0.0,19,20
161,2D,7H,JS,,,,0.0,0.0,1.0,1.0,19,20
162,4H,3H,,,,,0.0,0.0,1.0,1.0,7,20
163,3H,7D,,,,,0.0,0.0,1.0,1.0,10,13
164,2H,4D,,,,,0.0,1.0,0.0,1.0,6,26
165,5S,7S,,,,,1.0,0.0,0.0,1.0,22,21
166,10H,6H,,,,,1.0,0.0,0.0,1.0,25,12
167,10S,KC,,,,,1.0,0.0,0.0,1.0,30,10
168,2H,8C,,,,,0.0,0.0,1.0,1.0,10,18
169,2C,2H,,,,,1.0,1.0,1.0,0.0,11,18
170,2C,2H,7C,,,,0.0,1.0,0.0,1.0,11,24
171,3D,AD,,,,,0.0,0.0,1.0,1.0,14,15
172,6D,2S,,,,,0.0,0.0,1.0,1.0,8,21
173,7C,KH,,,,,0.0,1.0,0.0,1.0,17,13
174,KD,7S,,,,,1.0,1.0,1.0,0.0,21,12
175,4C,4H,,,,,1.0,1.0,1.0,0.0,13,20
176,4C,4H,5S,,,,0.0,0.0,1.0,1.0,13,20
177,9H,9C,,,,,1.0,0.0,0.0,1.0,28,14
178,7S,2S,,,,,0.0,0.0,1.0,1.0,9,15
179,JS,4C,,,,,0.0,0.0,1.0,1.0,14,21
180,5S,8H,,,,,0.0,0.0,1.0,1.0,13,17
181,QC,JD,,,,,0.0,1.0,0.0,1.0,20,10
182,3H,AS,,,,,0.0,0.0,1.0,1.0,14,16
183,8D,3C,,,,,0.0,0.0,1.0,1.0,11,20
184,3H,4H,,,,,1.0,1.0,1.0,0.0,14,9
185,3H,4H,7H,,,,0.0,0.0,1.0,1.0,14,19
186,5C,9S,,,,,0.0,0.0,1.0,1.0,14,17
187,4S,3C,,,,,0.0,1.0,0.0,1.0,7,26
188,4H,5S,,,,,0.0,1.0,0.0,1.0,9,25
189,AS,8D,,,,,0.0,1.0,0.0,1.0,19,22
190,5S,8H,,,,,1.0,0.0,0.0,1.0,22,21
191,9D,7H,,,,,1.0,1.0,1.0,0.0,21,13
192,9H,KC,,,,,0.0,1.0,0.0,1.0,19,25
193,6C,2S,,,,,1.0,1.0,1.0,0.0,13,15
194,6C,2S,5C,,,,0.0,0.0,1.0,1.0,13,15
195,JH,5D,,,,,1.0,1.0,1.0,0.0,17,16
196,JH,5D,2C,,,,1.0,1.0,1.0,0.0,19,16
197,JH,5D,2C,2H,,,1.0,0.0,0.0,1.0,23,16
198,7D,AC,,,,,0.0,1.0,0.0,1.0,18,12
199,7C,4S,,,,,0.0,0.0,1.0,1.0,11,12
200,7D,KH,,,,,0.0,1.0,0.0,1.0,17,12
201,AS,8D,,,,,0.0,1.0,0.0,1.0,19,28
202,5H,2H,,,,,0.0,0.0,1.0,1.0,7,20
203,AD,8S,,,,,1.0,1.0,1.0,0.0,12,13
204,AD,8S,3H,,,,1.0,1.0,1.0,0.0,13,13
205,AD,8S,3H,AH,,,0.0,0.0,1.0,1.0,13,21
206,6S,6D,,,,,0.0,1.0,0.0,1.0,12,23
207,8S,KH,,,,,1.0,0.0,0.0,1.0,28,20
208,AS,4H,,,,,1.0,1.0,1.0,0.0,14,16
209,AS,4H,9C,,,,0.0,0.0,1.0,1.0,14,16
210,4D,4C,,,,,1.0,1.0,1.0,0.0,14,12
211,4D,4C,6C,,,,1.0,1.0,1.0,0.0,15,12
212,4D,4C,6C,AH,,,0.0,1.0,0.0,1.0,15,12
213,KC,8C,,,,,0.0,1.0,0.0,1.0,18,12
214,7D,QH,,,,,1.0,0.0,0.0,1.0,23,17
215,5H,8D,,,,,1.0,0.0,0.0,1.0,22,20
216,5D,QS,,,,,1.0,1.0,1.0,0.0,21,20
217,JS,4D,,,,,1.0,1.0,1.0,0.0,18,12
218,JS,4D,4C,,,,0.0,1.0,0.0,1.0,18,12
219,8S,5H,,,,,0.0,1.0,0.0,1.0,13,26
220,QH,4D,,,,,1.0,0.0,0.0,1.0,23,17
221,6C,AC,,,,,1.0,1.0,1.0,0.0,17,19
222,6C,AC,JD,,,,1.0,0.0,0.0,1.0,27,19
223,8H,3S,,,,,1.0,1.0,1.0,0.0,21,11
224,JD,9D,,,,,1.0,0.0,0.0,1.0,29,20
225,KC,6D,,,,,0.0,0.0,1.0,1.0,16,18
226,2S,QD,,,,,1.0,0.0,0.0,1.0,22,15
227,10C,4S,,,,,1.0,0.0,0.0,1.0,24,14
228,4S,KH,,,,,1.0,0.0,0.0,1.0,24,8
229,JS,8H,,,,,1.0,0.0,0.0,1.0,25,20
230,7S,8C,,,,,1.0,1.0,1.0,0.0,20,14
231,7S,8C,5C,,,,1.0,0.0,0.0,1.0,26,14
232,6H,6C,,,,,0.0,1.0,0.0,1.0,12,22
233,9D,QC,,,,,1.0,0.0,0.0,1.0,25,13
234,9H,AC,,,,,0.0,1.0,0.0,1.0,20,20
235,AS,5H,,,,,0.0,1.0,0.0,1.0,16,6
236,9H,5D,,,,,0.0,1.0,0.0,1.0,14,22
237,QC,KS,,,,,1.0,0.0,0.0,1.0,29,19
238,KD,8D,,,,,1.0,0.0,0.0,1.0,28,15
239,3H,10D,,,,,0.0,0.0,1.0,1.0,13,21
240,QH,8S,,,,,0.0,1.0,0.0,1.0,18,27
241,KD,8C,,,,,0.0,1.0,0.0,1.0,18,16
242,7H,5S,,,,,1.0,1.0,1.0,0.0,20,20
243,7H,5S,8D,,,,0.0,1.0,0.0,1.0,20,20
244,7S,JS,,,,,1.0,1.0,1.0,0.0,21,16
245,6D,JD,,,,,0.0,1.0,0.0,1.0,16,26
246,4D,7H,,,,,1.0,1.0,1.0,0.0,21,2
247,7C,6H,,,,,1.0,0.0,0.0,1.0,23,11
248,7D,7C,,,,,0.0,1.0,0.0,1.0,14,23
249,7S,9S,,,,,0.0,0.0,1.0,1.0,16,19
250,10H,6C,,,,,1.0,0.0,0.0,1.0,26,10
251,10D,3D,,,,,0.0,0.0,1.0,1.0,13,15
252,8C,AC,,,,,1.0,1.0,1.0,0.0,18,16
253,8C,AC,9S,,,,0.0,1.0,0.0,1.0,18,16
254,9D,6C,,,,,0.0,0.0,1.0,1.0,15,17
255,6H,KD,,,,,0.0,0.0,1.0,1.0,16,18
256,7C,AS,,,,,0.0,1.0,0.0,1.0,18,17
257,6H,KC,,,,,1.0,1.0,1.0,0.0,20,12
258,6H,KC,4C,,,,1.0,0.0,0.0,1.0,22,12
259,2H,7D,,,,,1.0,1.0,1.0,0.0,16,18
260,2H,7D,7C,,,,0.0,1.0,0.0,1.0,16,26
261,3H,7S,,,,,1.0,1.0,1.0,0.0,13,15
262,3H,7S,3D,,,,0.0,0.0,1.0,1.0,13,15
263,AH,5D,,,,,1.0,1.0,1.0,0.0,10,5
264,AH,5D,4D,,,,0.0,0.0,1.0,1.0,20,21
265,2S,8C,,,,,1.0,1.0,1.0,0.0,20,11
266,2S,8C,QS,,,,0.0,0.0,1.0,1.0,20,21
267,10S,10C,,,,,0.0,1.0,0.0,1.0,20,13
268,9H,3C,,,,,1.0,0.0,0.0,1.0,22,11
269,2C,7S,,,,,0.0,1.0,0.0,1.0,9,23
270,10D,7C,,,,,0.0,1.0,0.0,1.0,17,16
271,8H,6S,,,,,1.0,0.0,0.0,1.0,22,4
272,7S,AD,,,,,0.0,1.0,0.0,1.0,18,18
273,5C,AC,,,,,1.0,1.0,1.0,0.0,16,14
274,5C,AC,10H,,,,1.0,0.0,0.0,1.0,26,14
275,KS,8C,,,,,0.0,1.0,0.0,1.0,18,12
276,KH,6H,,,,,0.0,1.0,0.0,1.0,16,16
277,7C,KS,,,,,0.0,1.0,0.0,1.0,17,24
278,8D,4S,,,,,0.0,1.0,0.0,1.0,12,24
279,4D,6D,,,,,0.0,0.0,1.0,1.0,10,20
280,7H,9H,,,,,1.0,0.0,0.0,1.0,22,16
281,KS,3D,,,,,0.0,0.0,1.0,1.0,13,17
282,10C,QC,,,,,0.0,1.0,0.0,1.0,20,30
283,7C,QC,,,,,1.0,1.0,1.0,0.0,18,15
284,7C,QC,AC,,,,1.0,0.0,0.0,1.0,25,15
285,8C,3H,,,,,1.0,1.0,1.0,0.0,21,20
286,6H,4C,,,,,0.0,0.0,1.0,1.0,10,12
287,5S,9S,,,,,0.0,0.0,1.0,1.0,14,15
288,JS,10H,,,,,0.0,1.0,0.0,1.0,20,12
289,3D,KS,,,,,1.0,1.0,1.0,0.0,17,16
290,3D,KS,4H,,,,1.0,1.0,1.0,0.0,18,16
291,3D,KS,4H,AD,,,0.0,1.0,0.0,1.0,18,26
292,3H,KH,,,,,1.0,1.0,1.0,0.0,16,14
293,3H,KH,3C,,,,0.0,1.0,0.0,1.0,16,14
294,10S,9D,,,,,1.0,0.0,0.0,1.0,28,15
295,2D,3D,,,,,0.0,0.0,1.0,1.0,5,16
296,KH,JS,,,,,0.0,1.0,0.0,1.0,20,20
297,JC,10C,,,,,0.0,1.0,0.0,1.0,20,30
298,3S,3C,,,,,0.0,0.0,1.0,1.0,6,13
299,9C,QC,,,,,1.0,0.0,0.0,1.0,22,12
300,10C,6D,,,,,1.0,0.0,0.0,1.0,23,18
301,JH,QC,,,,,0.0,1.0,0.0,1.0,20,23
302,2D,9H,,,,,0.0,1.0,0.0,1.0,11,6
303,7D,AS,,,,,1.0,1.0,1.0,0.0,17,10
304,7D,AS,9S,,,,0.0,0.0,1.0,1.0,17,20
305,8D,2S,,,,,1.0,1.0,1.0,0.0,20,6
306,8D,2S,JH,,,,0.0,1.0,0.0,1.0,20,16
307,6D,9H,,,,,0.0,1.0,0.0,1.0,15,13
308,QH,9S,,,,,1.0,0.0,0.0,1.0,22,20
309,7S,8C,,,,,1.0,0.0,0.0,1.0,25,18
310,8C,JD,,,,,1.0,0.0,0.0,1.0,28,4
311,6C,6D,,,,,0.0,1.0,0.0,1.0,12,8
312,QH,3S,,,,,0.0,0.0,1.0,1.0,13,21
313,10H,2H,,,,,0.0,1.0,0.0,1.0,12,22
314,2H,10D,,,,,0.0,0.0,1.0,1.0,12,18
315,10D,4S,,,,,0.0,0.0,1.0,1.0,14,15
316,8D,6H,,,,,1.0,1.0,1.0,0.0,20,4
317,8D,6H,6S,,,,1.0,0.0,0.0,1.0,24,14
318,7D,9C,,,,,1.0,0.0,0.0,1.0,26,10
319,10D,8S,,,,,1.0,0.0,0.0,1.0,22,16
320,6S,JH,,,,,1.0,1.0,1.0,0.0,18,15
321,6S,JH,2D,,,,1.0,0.0,0.0,1.0,23,15
322,KH,2H,,,,,0.0,0.0,1.0,1.0,12,14
323,9D,3D,,,,,0.0,1.0,0.0,1.0,12,22
324,KC,9D,,,,,1.0,0.0,0.0,1.0,29,14
325,8D,AH,,,,,1.0,1.0,1.0,0.0,15,10
326,8D,AH,6C,,,,0.0,1.0,0.0,1.0,15,28
327,10H,8D,,,,,0.0,1.0,0.0,1.0,18,22
328,6C,10C,,,,,0.0,1.0,0.0,1.0,16,9
329,9C,5H,,,,,1.0,0.0,0.0,1.0,24,19
330,6S,3C,,,,,0.0,0.0,1.0,1.0,9,18
331,2D,10H,,,,,1.0,1.0,1.0,0.0,21,19
332,8C,7C,,,,,0.0,0.0,1.0,1.0,15,21
333,6C,AD,,,,,0.0,1.0,0.0,1.0,17,23
334,AC,5H,,,,,0.0,1.0,0.0,1.0,16,7
335,AH,4H,,,,,0.0,1.0,0.0,1.0,15,7
336,2S,10H,,,,,0.0,0.0,1.0,1.0,12,15
337,4H,JD,,,,,1.0,0.0,0.0,1.0,24,14
338,5S,KS,,,,,0.0,0.0,1.0,1.0,15,17
339,JD,7C,,,,,1.0,0.0,0.0,1.0,22,11
340,2C,2S,,,,,1.0,1.0,1.0,0.0,13,8
341,2C,2S,9H,,,,1.0,0.0,0.0,1.0,23,8
342,9D,JD,,,,,1.0,0.0,0.0,1.0,25,12
343,QH,QD,,,,,1.0,0.0,0.0,1.0,30,19
344,KS,4C,,,,,1.0,1.0,1.0,0.0,21,5
345,8C,6H,,,,,0.0,1.0,0.0,1.0,14,30
346,4H,5H,,,,,1.0,1.0,1.0,0.0,19,11
347,4H,5H,JS,,,,0.0,1.0,0.0,1.0,19,23
348,3H,8S,,,,,0.0,0.0,1.0,1.0,11,16
349,7H,3S,,,,,1.0,1.0,1.0,0.0,20,11
350,7H,3S,10S,,,,1.0,0.0,0.0,1.0,30,21
351,3S,KD,,,,,1.0,1.0,1.0,0.0,21,15
352,AS,5D,,,,,0.0,1.0,0.0,1.0,16,29
353,2C,JD,,,,,0.0,1.0,0.0,1.0,12,26
354,AH,8H,,,,,0.0,1.0,0.0,1.0,19,27
355,2H,10D,,,,,0.0,0.0,1.0,1.0,12,18
356,7H,10C,,,,,0.0,0.0,1.0,1.0,17,20
357,7S,7D,,,,,0.0,0.0,1.0,1.0,14,16
358,8H,JH,,,,,1.0,1.0,1.0,0.0,19,12
359,8H,JH,AS,,,,0.0,1.0,0.0,1.0,19,12
360,QD,7S,,,,,0.0,1.0,0.0,1.0,17,12
361,5C,2H,,,,,1.0,1.0,1.0,0.0,17,16
362,5C,2H,JC,,,,0.0,1.0,0.0,1.0,17,25
363,2C,JD,,,,,0.0,1.0,0.0,1.0,12,12
364,3H,JS,,,,,1.0,1.0,1.0,0.0,17,18
365,3H,JS,4S,,,,1.0,1.0,1.0,0.0,18,18
366,3H,JS,4S,AS,,,0.0,1.0,0.0,1.0,18,27
367,KD,3D,,,,,0.0,0.0,1.0,1.0,13,20
368,AH,5H,,,,,1.0,1.0,1.0,0.0,16,16
369,AH,5H,JC,,,,1.0,0.0,0.0,1.0,24,16
370,6H,AS,,,,,1.0,1.0,1.0,0.0,13,12
371,6H,AS,6C,,,,0.0,1.0,0.0,1.0,13,12
372,KS,8C,,,,,0.0,0.0,1.0,1.0,18,21
373,9D,KH,,,,,0.0,1.0,0.0,1.0,19,26
374,2C,5D,,,,,1.0,1.0,1.0,0.0,14,10
375,2C,5D,7S,,,,1.0,0.0,0.0,1.0,22,10
376,6C,AC,,,,,1.0,1.0,1.0,0.0,10,14
377,6C,AC,3S,,,,1.0,1.0,1.0,0.0,15,14
378,6C,AC,3S,5H,,,1.0,1.0,1.0,0.0,16,14
379,6C,AC,3S,5H,AD,,0.0,1.0,0.0,1.0,16,16
380,KS,10C,,,,,0.0,1.0,0.0,1.0,20,27
381,8H,JS,,,,,0.0,1.0,0.0,1.0,18,24
382,5H,4H,,,,,1.0,1.0,1.0,0.0,12,16
383,5H,4H,3D,,,,1.0,1.0,1.0,0.0,20,16
384,5H,4H,3D,8S,,,0.0,1.0,0.0,1.0,20,19
385,QS,3D,,,,,0.0,1.0,0.0,1.0,13,13
386,KH,JC,,,,,1.0,0.0,0.0,1.0,30,14
387,6S,3S,,,,,0.0,1.0,0.0,1.0,9,8
388,10H,8D,,,,,0.0,0.0,1.0,1.0,18,20
389,QC,2S,,,,,0.0,0.0,1.0,1.0,12,16
390,6S,AH,,,,,0.0,1.0,0.0,1.0,17,24
391,2H,QH,,,,,0.0,1.0,0.0,1.0,12,30
392,JH,KD,,,,,1.0,0.0,0.0,1.0,23,7
393,10S,7C,,,,,0.0,1.0,0.0,1.0,17,26
394,2H,5H,,,,,0.0,1.0,0.0,1.0,7,28
395,4C,JH,,,,,0.0,1.0,0.0,1.0,14,30
396,QC,3C,,,,,1.0,1.0,1.0,0.0,18,11
397,QC,3C,5D,,,,0.0,0.0,1.0,1.0,18,21
398,3S,4D,,,,,0.0,0.0,1.0,1.0,7,18
399,9H,6C,,,,,1.0,0.0,0.0,1.0,25,10
400,10D,3S,,,,,0.0,0.0,1.0,1.0,13,19
401,3H,7H,,,,,0.0,0.0,1.0,1.0,10,15
402,QC,4S,,,,,0.0,1.0,0.0,1.0,14,9
403,3C,AD,,,,,1.0,1.0,1.0,0.0,14,8
404,3C,AD,JD,,,,0.0,0.0,1.0,1.0,14,21
405,6H,3C,,,,,0.0,0.0,1.0,1.0,9,11
406,8H,2D,,,,,1.0,1.0,1.0,0.0,20,11
407,8H,2D,KC,,,,0.0,1.0,0.0,1.0,20,20
408,8D,QS,,,,,0.0,1.0,0.0,1.0,18,25
409,4S,5D,,,,,1.0,1.0,1.0,0.0,19,18
410,4S,5D,JD,,,,0.0,1.0,0.0,1.0,19,18
411,9H,4S,,,,,1.0,1.0,1.0,0.0,16,15
412,9H,4S,3S,,,,0.0,0.0,1.0,1.0,16,19
413,7H,5C,,,,,0.0,0.0,1.0,1.0,12,20
414,10C,10S,,,,,1.0,0.0,0.0,1.0,27,20
415,5C,5S,,,,,1.0,1.0,1.0,0.0,14,20
416,5C,5S,4C,,,,0.0,1.0,0.0,1.0,14,27
417,3S,QS,,,,,1.0,0.0,0.0,1.0,23,15
418,10S,5S,,,,,1.0,0.0,0.0,1.0,25,8
419,3S,3H,,,,,1.0,1.0,1.0,0.0,14,10
420,3S,3H,8C,,,,1.0,0.0,0.0,1.0,23,10
421,QC,QD,,,,,1.0,0.0,0.0,1.0,25,13
422,5D,9D,,,,,1.0,0.0,0.0,1.0,24,11
423,QC,JH,,,,,1.0,0.0,0.0,1.0,28,18
424,JH,JD,,,,,1.0,0.0,0.0,1.0,27,16
425,3C,5H,,,,,0.0,0.0,1.0,1.0,8,20
