,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
140,5S,AC,2D,,,,1.0,1.0,1.0,0.0,15,12
141,5S,AC,2D,7D,,,1.0,1.0,1.0,0.0,19,12
142,5S,AC,2D,7D,4C,,1.0,0.0,0.0,1.0,29,12
143,JD,JC,,,,,1.0,0.0,0.0,1.0,30,13
144,8H,2D,,,,,1.0,1.0,1.0,0.0,13,17
145,8H,2D,3H,,,,1.0,1.0,1.0,0.0,21,17
146,3D,2C,,,,,0.0,0.0,1.0,1.0,5,15
147,5C,KH,,,,,0.0,0.0,1.0,1.0,15,17
148,3D,5D,,,,,1.0,1.0,1.0,0.0,15,18
149,3D,5D,7H,,,,0.0,0.0,1.0,1.0,15,18
150,10C,6C,,,,,0.0,0.0,1.0,1.0,16,21
151,3C,7C,,,,,1.0,1.0,1.0,0.0,20,11
152,3C,7C,JH,,,,1.0,0.0,0.0,1.0,24,21
153,3C,4S,,,,,1.0,1.0,1.0,0.0,15,20
154,3C,4S,8H,,,,1.0,1.0,1.0,0.0,17,20
155,3C,4S,8H,2H,,,1.0,0.0,0.0,1.0,27,20
156,2C,4H,,,,,1.0,1.0,1.0,0.0,10,18
157,2C,4H,4S,,,,0.0,0.0,1.0,1.0,10,18
158,KD,8D,,,,,0.0,0.0,1.0,1.0,18,20
159,KC,3C,,,,,1.0,1.0,1.0,0.0,18,14
160,KC,3C,5H,,,,0.0,1.0,0.0,1.0,18,24
161,AS,8D,,,,,1.0,1.0,1.0,0.0,19,13
162,AS,8D,JH,,,,0.0,0.0,1.0,1.0,19,21
163,7H,KD,,,,,0.0,1.0,0.0,1.0,17,26
164,10D,5C,,,,,1.0,1.0,1.0,0.0,16,15
165,10D,5C,AD,,,,0.0,1.0,0.0,1.0,16,25
166,3H,KC,,,,,0.0,0.0,1.0,1.0,13,17
167,JC,QH,,,,,1.0,0.0,0.0,1.0,30,12
168,QD,4H,,,,,1.0,0.0,0.0,1.0,24,16
169,3H,6D,,,,,1.0,1.0,1.0,0.0,11,13
170,3H,6D,2S,,,,0.0,0.0,1.0,1.0,11,13
171,QC,KD,,,,,0.0,1.0,0.0,1.0,20,25
172,8H,6H,,,,,0.0,0.0,1.0,1.0,14,18
173,7S,3D,,,,,0.0,0.0,1.0,1.0,10,18
174,6D,5C,,,,,1.0,1.0,1.0,0.0,14,18
175,6D,5C,3C,,,,1.0,0.0,0.0,1.0,24,18
176,8H,2D,,,,,1.0,1.0,1.0,0.0,20,15
177,8H,2D,JD,,,,0.0,1.0,0.0,1.0,20,23
178,2S,10D,,,,,0.0,0.0,1.0,1.0,12,13
179,10D,3D,,,,,1.0,1.0,1.0,0.0,17,13
180,10D,3D,4C,,,,0.0,0.0,1.0,1.0,17,18
181,5D,3D,,,,,0.0,0.0,1.0,1.0,8,9
182,4S,2D,,,,,0.0,0.0,1.0,1.0,6,9
183,KD,5D,,,,,1.0,1.0,1.0,0.0,18,17
184,KD,5D,3S,,,,1.0,0.0,0.0,1.0,28,17
185,4S,10S,,,,,0.0,0.0,1.0,1.0,14,15
186,5C,KH,,,,,0.0,0.0,1.0,1.0,15,20
187,QD,4D,,,,,1.0,1.0,1.0,0.0,19,8
188,QD,4D,5S,,,,0.0,1.0,0.0,1.0,19,26
189,2C,7D,,,,,1.0,1.0,1.0,0.0,11,14
190,2C,7D,2H,,,,0.0,0.0,1.0,1.0,11,14
191,4D,6S,,,,,1.0,1.0,1.0,0.0,20,18
192,4D,6S,10D,,,,0.0,1.0,0.0,1.0,20,25
193,AC,8S,,,,,1.0,1.0,1.0,0.0,19,4
194,AC,8S,KC,,,,0.0,0.0,1.0,1.0,19,21
195,4C,4S,,,,,0.0,0.0,1.0,1.0,8,15
196,3S,9S,,,,,0.0,0.0,1.0,1.0,12,13
197,4D,3D,,,,,0.0,0.0,1.0,1.0,7,12
198,8S,7D,,,,,0.0,0.0,1.0,1.0,15,17
199,4H,9S,,,,,1.0,0.0,0.0,1.0,23,14
200,8S,JD,,,,,0.0,1.0,0.0,1.0,18,24
201,AC,6C,,,,,0.0,0.0,1.0,1.0,17,20
202,10S,QH,,,,,1.0,0.0,0.0,1.0,30,16
203,10D,7D,,,,,1.0,0.0,0.0,1.0,27,17
204,5S,AS,,,,,1.0,1.0,1.0,0.0,8,20
205,5S,AS,2C,,,,0.0,0.0,1.0,1.0,18,20
206,9C,KD,,,,,1.0,0.0,0.0,1.0,29,8
207,7C,QC,,,,,1.0,0.0,0.0,1.0,27,16
208,10S,3H,,,,,0.0,0.0,1.0,1.0,13,14
209,4H,7H,,,,,1.0,1.0,1.0,0.0,12,5
210,4H,7H,AD,,,,1.0,0.0,0.0,1.0,22,15
211,QC,QD,,,,,1.0,0.0,0.0,1.0,26,14
212,8D,2D,,,,,1.0,1.0,1.0,0.0,16,17
213,8D,2D,6D,,,,1.0,0.0,0.0,1.0,26,17
214,10S,6C,,,,,1.0,0.0,0.0,1.0,24,20
215,5S,JS,,,,,1.0,1.0,1.0,0.0,16,19
216,5S,JS,AC,,,,0.0,0.0,1.0,1.0,16,19
217,9D,7S,,,,,0.0,1.0,0.0,1.0,16,26
218,3D,AD,,,,,1.0,1.0,1.0,0.0,14,15
219,3D,AD,QC,,,,0.0,0.0,1.0,1.0,14,15
220,4D,2S,,,,,1.0,1.0,1.0,0.0,11,13
221,4D,2S,5C,,,,1.0,1.0,1.0,0.0,20,13
222,4D,2S,5C,9H,,,1.0,0.0,0.0,1.0,30,13
223,3C,8S,,,,,1.0,1.0,1.0,0.0,21,14
224,10D,4S,,,,,0.0,0.0,1.0,1.0,14,17
225,10C,KS,,,,,1.0,0.0,0.0,1.0,28,14
226,10C,KD,,,,,0.0,1.0,0.0,1.0,20,30
227,QC,3C,,,,,1.0,1.0,1.0,0.0,17,13
228,QC,3C,4D,,,,0.0,0.0,1.0,1.0,17,19
229,2C,4C,,,,,1.0,1.0,1.0,0.0,9,19
230,2C,4C,3S,,,,1.0,1.0,1.0,0.0,19,19
231,2C,4C,3S,10S,,,0.0,1.0,0.0,1.0,19,27
232,AC,8S,,,,,0.0,1.0,0.0,1.0,19,22
233,AS,2S,,,,,0.0,0.0,1.0,1.0,13,20
234,3S,2D,,,,,1.0,1.0,1.0,0.0,15,15
235,3S,2D,QH,,,,0.0,0.0,1.0,1.0,15,19
236,10S,JC,,,,,1.0,0.0,0.0,1.0,22,12
237,JD,5D,,,,,1.0,1.0,1.0,0.0,19,16
238,JD,5D,4D,,,,0.0,1.0,0.0,1.0,19,26
239,3S,5C,,,,,1.0,1.0,1.0,0.0,16,20
240,3S,5C,8S,,,,1.0,0.0,0.0,1.0,26,20
241,JH,3D,,,,,1.0,1.0,1.0,0.0,14,11
242,JH,3D,AC,,,,1.0,0.0,0.0,1.0,24,11
243,KH,7H,,,,,0.0,1.0,0.0,1.0,17,24
244,6S,KH,,,,,0.0,0.0,1.0,1.0,16,20
245,3S,9S,,,,,1.0,0.0,0.0,1.0,22,17
246,10D,7C,,,,,1.0,0.0,0.0,1.0,23,16
247,8H,7D,,,,,0.0,1.0,0.0,1.0,15,25
248,KS,9C,,,,,1.0,0.0,0.0,1.0,29,16
249,9H,AC,,,,,1.0,1.0,1.0,0.0,13,12
250,9H,AC,3H,,,,1.0,1.0,1.0,0.0,19,12
251,9H,AC,3H,6D,,,1.0,0.0,0.0,1.0,23,12
252,KD,QS,,,,,1.0,0.0,0.0,1.0,24,5
253,AS,AC,,,,,0.0,0.0,1.0,1.0,12,17
254,AD,7D,,,,,0.0,0.0,1.0,1.0,18,20
255,10C,KH,,,,,1.0,0.0,0.0,1.0,29,11
256,3H,3C,,,,,0.0,0.0,1.0,1.0,6,14
257,8C,9D,,,,,0.0,0.0,1.0,1.0,17,21
258,10H,3S,,,,,1.0,0.0,0.0,1.0,23,15
259,AC,6H,,,,,0.0,1.0,0.0,1.0,17,26
260,KC,6C,,,,,0.0,0.0,1.0,1.0,16,18
261,4S,4C,,,,,1.0,1.0,1.0,0.0,18,15
262,4S,4C,QS,,,,0.0,0.0,1.0,1.0,18,19
263,KC,7C,,,,,0.0,0.0,1.0,1.0,17,21
264,8D,AD,,,,,0.0,1.0,0.0,1.0,19,26
265,6S,JS,,,,,1.0,1.0,1.0,0.0,21,12
266,2D,8S,,,,,0.0,0.0,1.0,1.0,10,18
267,6D,8S,,,,,0.0,0.0,1.0,1.0,14,21
268,5C,5H,,,,,0.0,0.0,1.0,1.0,10,14
269,4H,KD,,,,,0.0,0.0,1.0,1.0,14,21
270,8D,9C,,,,,0.0,1.0,0.0,1.0,17,26
271,6C,2H,,,,,1.0,1.0,1.0,0.0,10,8
272,6C,2H,2S,,,,1.0,1.0,1.0,0.0,17,8
273,6C,2H,2S,7D,,,1.0,0.0,0.0,1.0,27,18
274,6C,8D,,,,,0.0,0.0,1.0,1.0,14,16
275,3H,3S,,,,,1.0,1.0,1.0,0.0,10,9
276,3H,3S,4S,,,,0.0,0.0,1.0,1.0,10,19
277,9D,10C,,,,,0.0,1.0,0.0,1.0,19,22
278,JC,QD,,,,,0.0,1.0,0.0,1.0,20,28
279,KD,6H,,,,,1.0,0.0,0.0,1.0,26,11
280,2C,3H,,,,,0.0,0.0,1.0,1.0,5,18
281,QH,KC,,,,,0.0,1.0,0.0,1.0,20,23
282,10C,7D,,,,,0.0,0.0,1.0,1.0,17,18
283,4C,JC,,,,,0.0,1.0,0.0,1.0,14,23
284,3C,9S,,,,,0.0,0.0,1.0,1.0,12,13
285,3D,10S,,,,,1.0,0.0,0.0,1.0,23,17
286,2S,8S,,,,,0.0,0.0,1.0,1.0,10,14
287,QS,10D,,,,,0.0,1.0,0.0,1.0,20,24
288,10C,KS,,,,,0.0,0.0,1.0,1.0,20,21
289,10C,8D,,,,,1.0,0.0,0.0,1.0,23,15
290,10D,6H,,,,,1.0,1.0,1.0,0.0,19,13
291,10D,6H,3H,,,,1.0,0.0,0.0,1.0,26,13
292,4H,KS,,,,,0.0,0.0,1.0,1.0,14,17
293,10D,8C,,,,,0.0,1.0,0.0,1.0,18,22
294,JC,7S,,,,,0.0,0.0,1.0,1.0,17,18
295,6C,QS,,,,,1.0,0.0,0.0,1.0,26,15
296,9D,7D,,,,,0.0,0.0,1.0,1.0,16,18
297,KS,3C,,,,,0.0,0.0,1.0,1.0,13,16
298,5S,2C,,,,,1.0,1.0,1.0,0.0,17,8
299,5S,2C,JD,,,,1.0,0.0,0.0,1.0,23,18
300,7C,5S,,,,,1.0,1.0,1.0,0.0,18,12
301,7C,5S,6S,,,,0.0,1.0,0.0,1.0,18,22
302,5S,9C,,,,,0.0,0.0,1.0,1.0,14,21
303,KC,7H,,,,,0.0,0.0,1.0,1.0,17,19
304,KS,8D,,,,,0.0,1.0,0.0,1.0,18,28
305,10D,9D,,,,,0.0,0.0,1.0,1.0,19,20
306,7H,AH,,,,,0.0,0.0,1.0,1.0,18,20
307,QD,10D,,,,,1.0,0.0,0.0,1.0,30,16
308,9D,AH,,,,,0.0,0.0,1.0,1.0,20,21
309,4S,5D,,,,,1.0,1.0,1.0,0.0,15,16
310,4S,5D,6H,,,,0.0,0.0,1.0,1.0,15,16
311,2C,8S,,,,,1.0,1.0,1.0,0.0,19,9
312,2C,8S,9D,,,,0.0,1.0,0.0,1.0,19,29
313,AD,4S,,,,,1.0,1.0,1.0,0.0,15,9
314,AD,4S,10D,,,,0.0,0.0,1.0,1.0,15,21
315,4H,10C,,,,,0.0,1.0,0.0,1.0,14,24
316,8D,6D,,,,,1.0,1.0,1.0,0.0,18,10
317,8D,6D,4D,,,,1.0,0.0,0.0,1.0,27,10
318,9H,6D,,,,,1.0,0.0,0.0,1.0,25,12
319,10S,JS,,,,,1.0,0.0,0.0,1.0,30,10
320,QS,4D,,,,,1.0,0.0,0.0,1.0,23,13
321,5H,KH,,,,,1.0,1.0,1.0,0.0,16,20
322,5H,KH,AD,,,,0.0,0.0,1.0,1.0,16,20
323,3D,10S,,,,,1.0,0.0,0.0,1.0,23,11
324,9D,9C,,,,,1.0,0.0,0.0,1.0,26,11
325,2S,3S,,,,,1.0,1.0,1.0,0.0,10,17
326,2S,3S,5C,,,,1.0,1.0,1.0,0.0,20,17
327,2S,3S,5C,10D,,,1.0,0.0,0.0,1.0,26,17
328,7C,AS,,,,,0.0,1.0,0.0,1.0,18,22
329,6C,2D,,,,,1.0,1.0,1.0,0.0,9,7
330,6C,2D,AD,,,,1.0,1.0,1.0,0.0,18,7
331,6C,2D,AD,9C,,,0.0,0.0,1.0,1.0,18,21
332,4C,5H,,,,,1.0,1.0,1.0,0.0,19,8
333,4C,5H,KC,,,,0.0,1.0,0.0,1.0,19,28
334,QH,4S,,,,,0.0,0.0,1.0,1.0,14,21
335,9S,8S,,,,,1.0,1.0,1.0,0.0,18,13
336,9S,8S,AC,,,,0.0,0.0,1.0,1.0,18,20
337,6S,KH,,,,,0.0,0.0,1.0,1.0,16,20
338,7H,9C,,,,,0.0,0.0,1.0,1.0,16,20
339,5D,7H,,,,,0.0,0.0,1.0,1.0,12,17
340,9C,KC,,,,,1.0,0.0,0.0,1.0,29,13
341,2S,QS,,,,,0.0,0.0,1.0,1.0,12,18
342,7H,8D,,,,,1.0,1.0,1.0,0.0,21,15
343,7S,8C,,,,,0.0,0.0,1.0,1.0,15,19
344,9D,10H,,,,,1.0,0.0,0.0,1.0,29,14
345,4H,7D,,,,,0.0,0.0,1.0,1.0,11,15
346,KH,5H,,,,,1.0,0.0,0.0,1.0,24,18
347,2D,3H,,,,,1.0,1.0,1.0,0.0,15,19
348,2D,3H,10D,,,,1.0,0.0,0.0,1.0,25,19
349,4S,4H,,,,,0.0,0.0,1.0,1.0,8,20
350,10S,3S,,,,,1.0,0.0,0.0,1.0,23,16
351,KC,10H,,,,,0.0,1.0,0.0,1.0,20,25
352,5S,JH,,,,,0.0,0.0,1.0,1.0,15,20
353,3H,2H,,,,,0.0,0.0,1.0,1.0,5,12
354,6D,3D,,,,,0.0,0.0,1.0,1.0,9,14
355,7D,2H,,,,,1.0,1.0,1.0,0.0,16,11
356,7D,2H,7H,,,,1.0,0.0,0.0,1.0,25,21
357,3S,4C,,,,,1.0,1.0,1.0,0.0,17,15
358,3S,4C,KD,,,,0.0,0.0,1.0,1.0,17,20
359,4D,5C,,,,,0.0,0.0,1.0,1.0,9,21
360,3C,7C,,,,,1.0,1.0,1.0,0.0,12,15
361,3C,7C,2H,,,,0.0,0.0,1.0,1.0,12,15
362,2C,QC,,,,,0.0,0.0,1.0,1.0,12,16
363,8S,AC,,,,,1.0,1.0,1.0,0.0,19,15
364,8S,AC,KC,,,,1.0,0.0,0.0,1.0,29,15
365,KC,6D,,,,,0.0,0.0,1.0,1.0,16,20
366,QD,JC,,,,,1.0,0.0,0.0,1.0,25,9
367,2H,QH,,,,,1.0,1.0,1.0,0.0,13,12
368,2H,QH,AS,,,,1.0,1.0,1.0,0.0,14,12
369,2H,QH,AS,AH,,,1.0,0.0,0.0,1.0,24,12
370,6C,5H,,,,,1.0,1.0,1.0,0.0,19,12
371,6C,5H,8H,,,,0.0,0.0,1.0,1.0,19,20
372,AH,9D,,,,,0.0,1.0,0.0,1.0,20,22
373,2C,QS,,,,,0.0,0.0,1.0,1.0,12,20
374,KS,4S,,,,,1.0,0.0,0.0,1.0,22,18
375,KS,KC,,,,,0.0,0.0,1.0,1.0,20,21
376,QS,9C,,,,,1.0,0.0,0.0,1.0,26,19
377,8H,JC,,,,,0.0,0.0,1.0,1.0,18,21
378,JS,KD,,,,,0.0,0.0,1.0,1.0,20,21
379,JS,7S,,,,,1.0,0.0,0.0,1.0,27,12
380,6S,JD,,,,,1.0,0.0,0.0,1.0,26,20
381,QS,2D,,,,,0.0,0.0,1.0,1.0,12,20
382,3S,QD,,,,,1.0,1.0,1.0,0.0,18,13
383,3S,QD,5D,,,,1.0,0.0,0.0,1.0,23,13
384,4S,6H,,,,,1.0,1.0,1.0,0.0,12,13
385,4S,6H,2S,,,,0.0,0.0,1.0,1.0,12,13
386,KH,2S,,,,,1.0,1.0,1.0,0.0,16,8
387,KH,2S,4S,,,,1.0,0.0,0.0,1.0,23,8
388,8H,QD,,,,,0.0,1.0,0.0,1.0,18,24
389,8S,5D,,,,,1.0,1.0,1.0,0.0,17,13
390,8S,5D,4C,,,,1.0,1.0,1.0,0.0,19,13
391,8S,5D,4C,2C,,,0.0,1.0,0.0,1.0,19,22
392,3D,9D,,,,,1.0,0.0,0.0,1.0,22,19
393,JC,10S,,,,,0.0,1.0,0.0,1.0,20,23
394,4C,KS,,,,,0.0,0.0,1.0,1.0,14,16
395,KD,KS,,,,,0.0,1.0,0.0,1.0,20,25
396,6C,5H,,,,,1.0,1.0,1.0,0.0,18,17
397,6C,5H,7C,,,,0.0,1.0,0.0,1.0,18,24
398,6C,AS,,,,,0.0,0.0,1.0,1.0,17,21
399,5S,QC,,,,,0.0,0.0,1.0,1.0,15,17
400,10S,3H,,,,,1.0,0.0,0.0,1.0,23,21
401,3D,3H,,,,,1.0,1.0,1.0,0.0,15,5
402,3D,3H,9S,,,,0.0,0.0,1.0,1.0,15,21
403,6D,5C,,,,,0.0,0.0,1.0,1.0,11,20
404,9H,5S,,,,,1.0,0.0,0.0,1.0,24,13
405,6C,JS,,,,,1.0,0.0,0.0,1.0,22,16
406,6D,KD,,,,,1.0,1.0,1.0,0.0,21,6
407,7D,3D,,,,,0.0,0.0,1.0,1.0,10,11
408,JS,9C,,,,,0.0,1.0,0.0,1.0,19,29
409,2C,4S,,,,,0.0,0.0,1.0,1.0,6,12
410,2D,6H,,,,,1.0,1.0,1.0,0.0,16,16
411,2D,6H,8H,,,,1.0,0.0,0.0,1.0,26,16
412,4S,7C,,,,,0.0,0.0,1.0,1.0,11,19
413,JC,JD,,,,,1.0,0.0,0.0,1.0,26,19
414,KC,4H,,,,,0.0,0.0,1.0,1.0,14,16
415,KD,QS,,,,,0.0,1.0,0.0,1.0,20,26
416,9H,QS,,,,,1.0,0.0,0.0,1.0,27,15
417,KD,5S,,,,,1.0,1.0,1.0,0.0,17,19
418,KD,5S,2S,,,,1.0,0.0,0.0,1.0,27,19
419,5H,3H,,,,,1.0,1.0,1.0,0.0,12,16
420,5H,3H,4D,,,,0.0,0.0,1.0,1.0,12,16
421,JS,8H,,,,,1.0,1.0,1.0,0.0,19,15
422,JS,8H,AC,,,,1.0,0.0,0.0,1.0,27,15
423,2D,9C,,,,,0.0,0.0,1.0,1.0,11,17
424,5S,7S,,,,,1.0,1.0,1.0,0.0,13,17
